Hotel name,Location,Amenities,Rooms,Reviews
airobedz MAKATI - Palanan,"The location is 5487 Boyle Street, Palanan, Makati, 1235 Manila, Philippines","Free WiFi
Private parking
Non-smoking rooms
24-hour front desk
Lift","Standard Single Room
Standard Double Room
Deluxe Double Room
Standard Twin Room","Review 2:
“this place is very accomodating and nice surroundings.”

Review 3:
“I like the fact that they were very approachable and accommodating. The location was accessible. The staff were very helpful and very attentive. The room was great. The air-conditioning was good. It was a great place to rest after a tiring day.”

Review 4:
“The place is near my event location. It is clean and peaceful.”

Review 5:
“Comfortable room/bed with little kitchenette and TV.”"
Ramada Encore by Wyndham Makati,"The location is 9630 Kamagong Street, San Antonio Village, Makati, 1203 Manila, Philippines","Free WiFi
Free parking
Non-smoking rooms
24-hour front desk
Lift","King Room
Standard Twin Room
Deluxe Double or Twin Room","Review 13:
“Check in & check out is a breeze 👌. The staff are friendly and are hospitable. There is a big supermarket about 10 minutes walk from the hotel, which is great for last minute shopping.”

Review 14:
“The staff were kind, courteous, attentive and friendly. The breakfast food was a mix of hot and cold dishes, with fruits, yogurt, tea and coffee. Tasty dishes like pancit bihon and beef menudo! WOW! WiFi speed was reasonably fast. The room was...”

Review 15:
“It was comfortable and situated a grab taxi from Manila sights and numerous shopping Malls”

Review 16:
“The room was nice and big. The beds were comfortable.”

Review 17:
“We loved the breakfast buffet. Very convenient for us being a family of five. Hot shower. Staff and services were efficient.”

Review 18:
“nicely room, comfortable, clean and a nice view on the skyline of Makati. The rooftop is amazing also and offer a correct food. The staff is very kind and helpful.”

Review 19:
“Large room, great hot shower. The breakfast was good with fresh eggs cooked your way. The staff went out of their way to make you  comfortable. The first night, I was on the 2nd fool roadside room. It was so noisy due to the lack of soundproofing...”

Review 20:
“It was a very adequate range of breakfast. Fresh omelette was briskly made to order and the quality was great.
Staff were very attentive and well trained”

Review 21:
“Rooftop restaurant was great; good choice of meals and cold drinks and cool location and views. Room was comfy, beakfast was excellent.”

Review 22:
“Breakfast  good location reasonable selection First class ""eggs"" all styles a good start to the day
Attitude of staff is excellent all areas”"
Lub d Philippines Makati,"The location is 7820 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines","Free WiFi
Free parking
Non-smoking rooms
24-hour front desk
Lift","Single Bed in Dormitory Room
Single Bed in Female Dormitory Room
Deluxe Room
Quadruple Room with Private Bathroom
Deluxe Twin Room
Family Room with Private Bathroom","Review 3:
“Closed to church . Buffet breakfast also good and staff were spectacular. Attended to our needs right away and fast service especially the security personnel were very helpful.”

Review 4:
“You feel welcome the moment you step in. A nice up class backpacker place with something for everyone. A pool table, PlayStation, chill hangout places, bar and restaurant.

The rooms were very nice and I liked the bed especially. Will definitely...”

Review 5:
“Location is great with many cafès, bars, and restaurants in the vicinity. The staff is so nicee and the restaurant food is excellent! Highly recommended.”

Review 6:
“Room was clean and a good size, we knit stayed here a night while passing through Manila but would stay again if needed to. There isn’t much to do near the hotel but that might just be the area of Makati”

Review 7:
“I was staying in an 8 bed shared room and either the bed and the room themselves were amazing!
I had breakfast and lunch at the restaurant they have at level 13 and it was really good as well.
It was located in the city’s CBD, there were a lot of...”

Review 8:
“The restaurant had really nice food and breakfast. Staff were lovely and bedrooms were so comfy”

Review 9:
“The good location. It is near to several shopping malls.”

Review 10:
“Everything is very nice. Facility, staff, room  are all perfect.😇”

Review 11:
“Good location. Room is spacious with lockers and mirrors. Bathroom is clean. Staff are helpful.”

Review 12:
“The staffs is so helpful and accommodating. The room is clean and so inviting. We have a great and fantastic time spend and will assured that we're coming back.”"
Manila Prince Hotel,"The location is 1000 San Marcelino St. Ermita, 1000 Manila, Philippines","Free WiFi
Free parking
Non-smoking rooms
24-hour front desk
Lift","Deluxe Room
Executive Suite
Presidential Suite","“Super friendly staff and comfortable beds. It's also really calm if you need to rest.”

Review 3:
“Location was great. Staff are superb. Breakfast was awesome and the swimming pool is wonderful. I like my Kungsizd bed most. It was very comfortable.There's nothing not to like un here.”

Review 4:
“Everything was done with class,breakfast was good and house keeping came right away when needed.”

Review 5:
“Love the ambience of the hotel, walking distance to the historic places, very clean rooms, amenities and pool excellent. Staff members are the real asset of the hotel, they are the best in customer service especially the bellboys.”

Review 6:
“Hotel staff are amazing, hotel is very clean, superb location! Staff were the gem in that hotel.”

Review 7:
“The staff are very accommodating and polite. I would like to commend Justin from the restaurant (breakfast time) he is very  caring to all guest. The room and hallway are very clean. The room is spacious.”

Review 8:
“Rooms are clean and nice 😄 . Worth  the money we paid”

Review 9:
“Foods for breakfast are delicious.
Staff were helpful and accomodating.”

Review 10:
“It's in the middle of the city near Rizal Park. The rooms are large. The food was good. The staff is professional and the place is clean.”

Review 11:
“The hotel is very beautiful and spacious. Bad is huge and room is very clean. Great breakfast as well, staff helps a lot if needed”"
Hotel 101 - Manila,"The location is EDSA Extension, Mall of Asia Complex, , Pasay, 1300 Manila, Philippines","Free WiFi
Free parking
Non-smoking rooms
24-hour front desk
Lift","Double or Twin Room
Triple Room","Review 3:
“heater didn't work but eventually house maintenance fixed it. All other things worked. liked the room because it was quiet so it was easy to get rest on the comfy bed. staff were very nice too.”

Review 4:
“Its my 2nd time here. Staff are very approachable theyre always greeting and smiling.
The bellman is very kind.
They give all my request very quick, and the operator Jane is very sweet .
I will surely comeback.”

Review 5:
“We found the hotel to be more than adequate for the price, staff were friendly and efficient bed was comfortable no complaints it’s not 5 star but it’s great for what it is and the price”

Review 6:
“I though the breakfast is included when i placed my online reservation but its not a big deal. The location is good very accessible and near the biggest shopping mall were I also did the early morning walk at the back of MOA😃”

Review 7:
“Room well furnished…couldnt get the hot water working on our first vist but never mentioned it…..gkad it worked fine in the second room.

Breakfast was ok, bacon wasnt great but everything else was nice.”

Review 8:
“Close to malls, close airport, staff was great to assist always.”

Review 9:
“I like the location it's near MOA and Airport. The staff are very accomodating. On our 2nd day I requested a transfer to a new room since our room is on the 3rd floor and beside the busy street. I can hear all the noise outside. So, they gave us ...”

Review 10:
“we stayed this hotel for the FIBA World Cup 2023. 
good :
walking distance to the venue, Mall of Asia Arena,  
lots of restaurants, cafes, taking out places in the nearby area,
7-11 store on the ground floor, 
easy access to LRT and MRT...”

Review 11:
“The location is conveient from Manila Airport and it is very near MOA.
My wife and kids like the room where they stayed.”

Review 12:
“Good space to stay. Will come back once in the city again”"
Airo Hotel Manila,"The location is A. Flores, 1000 Manila, Philippines",,"Standard Single Room
Standard Double Room
Deluxe Twin Room
Deluxe Double Room","Review 2:
“Location is walking distance to the US Embassy. It was clean, staff was very accommodating and helpful, the room was 20sqm which was a really decent size for me, they also had basic toiletries and clean towels. With the amount that I paid, it was...”

Review 3:
“I like everything. I would try to come back again.”

Review 4:
“The room was clean and big. Location is very good, close to the old part of Manila. The price was very good. It is possible to have a very nice breakfast at a nearby location.”

Review 5:
“Booked this hotel during our Medical exam at St Lukes Ext, it was just a five minute walk from the hotel.  
We also stayed again here during our interview at USEM which is also just few minutes walk from the hotel.”

Review 6:
“Room is not that big but given to location its ok.”

Review 7:
“Super convenient because it's just beside a 7/11!”

Review 8:
“We love the comfort of the room and aircon is very cold. Area also accessible to different restaurants/fastfood chain.”

Review 9:
“I like the bathroom especially the hot and cold shower. 5points for the bathroom”

Review 10:
“The room was fine: comfortable bed, hot running water, working AC. 
But the best part of my stay was staff! Guys were really helpful and found time to manage my problems that didn’t concern my stay at the hotel. thank you!
Not far from airport...”

Review 11:
“Staff was very accommodating. Very polite and professional. 👍👍👍👍.. room was clean..”"
The Mini Suites Eton Tower Makati,"The location is 128 Dela Rosa St., Ayala South , Makati, 1229 Manila, Philippines","Outdoor swimming pool
Free WiFi
Airport shuttle
Free parking
Family rooms
Fitness centre
Non-smoking rooms
24-hour front desk
Facilities for disabled guests
Laundry","Mini Single Room
Mini Double Room
Smart Luxe Room
Smart Plus Room","“1. Good location, near airport. Even it is close to a noisy road, it is not a big problem for me. And the staff will notice you in advance.
2. The staff is so friendly and helpful.”

Review 4:
“Booked a room for my husband during his stay in Manila. He said he liked the place, the room is clean & staffs are nice especially the security guard.”

Review 5:
“I liked that they were super accommodating to respond to my needs during my stay.

The overall appearance of my room was great! I think their choice of colors was the reason why I didn't have a hard time sleeping.

The noise from the outside...”

Review 6:
“The staff are so cute and helpful 
Could not fault it. So clean and cheap. 
Toothbrush coffee etc all included. Filtered water to drink from a dispenser 
Did not hear any noise from the road like other reviews state”

Review 7:
“Simple and basic accommodation. What you'd expect for the price.
Staff were polite and flexible, allowing a llate check out”

Review 8:
“Excellent supportive staff, great spacious rooms, comfy beds, excellent showers, TV with HBO. Our go-to place in Makati, highly recommended.”

Review 9:
“Decent rooms,  everything was clean and reception and guard were friendly. Everything you'd expect from this type of hotel”

Review 10:
“The staff were extremely friendly and helpful that made the stay even better 👍”

Review 11:
“The staff is really kind and helpful. The rooms are really big. All the facilities were provided. We loved our stay here. Would love to stay again sometime.”

Review 12:
“The place is so cool and the staff so accomodating.The rooms are spacious and comfortable!”"
"Inn De Avenida, Makati","The location is 57 EDSA, Makati, Makati, 1233 Manila, Philippines","Free WiFi
Free parking
Non-smoking rooms
24-hour front desk
Breakfast","Double Room
Single Room
Twin Room
Family Room","“1. Good location, near airport. Even it is close to a noisy road, it is not a big problem for me. And the staff will notice you in advance.
2. The staff is so friendly and helpful.”

Review 4:
“Booked a room for my husband during his stay in Manila. He said he liked the place, the room is clean & staffs are nice especially the security guard.”

Review 5:
“I liked that they were super accommodating to respond to my needs during my stay.

The overall appearance of my room was great! I think their choice of colors was the reason why I didn't have a hard time sleeping.

The noise from the outside...”

Review 6:
“The staff are so cute and helpful 
Could not fault it. So clean and cheap. 
Toothbrush coffee etc all included. Filtered water to drink from a dispenser 
Did not hear any noise from the road like other reviews state”

Review 7:
“Simple and basic accommodation. What you'd expect for the price.
Staff were polite and flexible, allowing a llate check out”

Review 8:
“Excellent supportive staff, great spacious rooms, comfy beds, excellent showers, TV with HBO. Our go-to place in Makati, highly recommended.”

Review 9:
“Decent rooms,  everything was clean and reception and guard were friendly. Everything you'd expect from this type of hotel”

Review 10:
“The staff were extremely friendly and helpful that made the stay even better 👍”

Review 11:
“The staff is really kind and helpful. The rooms are really big. All the facilities were provided. We loved our stay here. Would love to stay again sometime.”

Review 12:
“The place is so cool and the staff so accomodating.The rooms are spacious and comfortable!”"
Super OYO Capital O 907 Ceo Flats,"The location is CEO Flats, 27 Canopus corner Jupiter Street, Bel-Air Village, Jupiter, Makati, 1209 Manila, Philippines","Non-smoking rooms
Room service
Garden","One Bedroom Suite 
Family Suite
Standard Single Room","“The place is so affordable and has a great location. This was our 2nd time and we will keep.on coming. Kudos to staff Rey for his warm accomodation.”

Review 3:
“Accessible to train station,friendly neighborhood and easy access to different restaurants”

Review 4:
“The location is great! INternet is great tables are given.”

Review 5:
“The staff was absolutely the best about the place then the aircon. The area had a good variety of restaurants, though we only tried one nearby.”

Review 6:
“Convenient transport near MRT and jeepney terminal. Spacious rooms.”

Review 7:
“Best prize/value in this low prize category ever. Accurate managed and design. A kind of 3 star Hotel in Bonsai size.”

Review 8:
“Well located and clean apartment. Convenience shop underneath, near railway station.”

Review 9:
“Very good location, spacious room, attentive staff”

Review 10:
“The room (flat) is really spacious and consists of a kitchen, living room, bed room and a bathroom. Internet is great and you are provided with your own router in the room. Incase you need a more secure connection, the cellular coverage is also...”

Review 11:
“I stayed for two nights and at first, I was amazed by the beauty and elegance of the interior design for such a budget hotel. The staffs are also friendly and helpful.”"
OYO 848 Dona Aurora Condotel,"The location is 52 North Ponce, Quezon City, 1113 Manila, Philippines","Non-smoking rooms
24-hour front desk
Lift","Standard Triple
Standard Double Room
Deluxe Twin Room
Suite Family","Review 9:
“Very secure. Gate surrounding property, locked. Very clean.”

Review 10:
“Everything! The best place to relax. Friendly and accommodating staff.”

Review 11:
“Super accommodating the staff, the room is clean and the location is safe.”

Review 12:
“Outstanding helpful and nice staff! Helped us to arrange further trip to Marinduque.”

Review 13:
“The staff are accommodating. The room is clean. This was our 2nd stay and we are planning to stay again in December.”

Review 14:
“staff were really nice and very friendly and accommodating. bed and beddings really comfortable too”

Review 15:
“Amazing room with such comfy beds and a great size, for a great price. Staff also super friendly and will go out of their way to help you. Plus there is a pool on the roof AND early check in is possible for an extra cost (100 pesos per hour before...”

Review 16:
“it was nice and clean, felt safe, the ladies at the front desk were nice and ready to give advice or have a chat :)”

Review 17:
“Staff were accommodating , helpful and approachable. The room is very satisfying with the price.”

Review 18:
“Staff are very accommodating. The place is clean and unexpectedly comfortable. Room is actually big for it's price.”"
